entity_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,session_duration,command_sequence,device_fingerprint,label,anomaly_type,event_id
e_00191,edge_device,2026-01-01 00:10:00,103.225.171.100,India,api_gateway,certificate,4.17,connect > connect > telemetry_push > logout > read_sensor,linux-74-42:0f:56:99:2e:d0,normal,none,evt_000000
e_00175,edge_device,2026-01-01 00:22:00,88.111.145.164,Germany,vpn_gateway,token,8.26,connect > connect > telemetry_push > heartbeat > logout > logout,ios-58-49:74:23:35:70:b0,normal,none,evt_000001
s_00145,service_account,2026-01-01 00:22:00,103.9.202.108,India,source_repo,token,12.17,read_config > api_call > read_config,win-86-de:8a:4e:19:9e:89,normal,none,evt_000002
s_00214,service_account,2026-01-01 00:26:00,103.139.71.243,India,database,token,5.63,read_config > logout > read_config > read_config > auth,ios-19-45:d8:87:f9:df:8e,normal,none,evt_000003
e_00048,edge_device,2026-01-01 00:31:00,103.152.45.215,India,vpn_gateway,certificate,10.83,read_sensor > read_sensor > telemetry_push,linux-74-7e:03:15:44:3e:d7,normal,none,evt_000004
e_00170,edge_device,2026-01-01 00:40:00,34.189.198.145,United States,vpn_gateway,token,8.67,heartbeat > heartbeat > logout > telemetry_push > logout > heartbeat,android-30-f8:31:8c:ca:14:11,normal,none,evt_000005
e_00149,edge_device,2026-01-01 00:40:00,103.250.222.46,India,api_gateway,token,4.23,logout > connect > telemetry_push,android-36-3f:c5:35:56:3c:9b,normal,none,evt_000006
s_00145,service_account,2026-01-01 00:46:00,103.158.7.17,India,api_gateway,token,10.05,write_log > logout > logout > logout > read_config > logout,win-86-de:8a:4e:19:9e:89,normal,none,evt_000007
s_00120,service_account,2026-01-01 00:48:00,34.214.224.221,United States,ticketing_portal,token,10.16,write_log > read_config > auth > auth,win-42-fe:7a:f5:a9:0a:34,normal,none,evt_000008
s_00132,service_account,2026-01-01 00:50:00,103.41.28.231,India,api_gateway,certificate,9.58,api_call > write_log > logout,win-45-4a:53:87:30:e2:ba,normal,none,evt_000009
e_00032,edge_device,2026-01-01 01:18:00,88.220.136.234,Germany,mailbox,password,0.35,login > auth > list_resources > escalate > read_file > download,linux-95-25:16:ef:8e:70:bc,anomaly,credential_stuffing,evt_000010
e_00235,edge_device,2026-01-01 01:24:00,103.156.220.17,India,api_gateway,certificate,8.58,heartbeat > logout > logout > read_sensor > telemetry_push > logout,android-71-ac:88:06:63:bb:cf,normal,none,evt_000011
e_00189,edge_device,2026-01-01 01:29:00,103.64.116.193,India,iot_hub,token,7.28,connect > logout > read_sensor > read_sensor > read_sensor,linux-14-6a:77:41:5f:80:0c,normal,none,evt_000012
s_00056,service_account,2026-01-01 01:33:00,103.181.129.217,India,api_gateway,certificate,7.79,read_config > write_log > auth > logout > logout,android-45-b3:e5:9c:ab:41:3c,normal,none,evt_000013
e_00048,edge_device,2026-01-01 01:44:00,103.32.185.86,India,vpn_gateway,biometric,11.02,connect > heartbeat > heartbeat,linux-74-7e:03:15:44:3e:d7,normal,none,evt_000014
s_00195,service_account,2026-01-01 01:50:00,103.250.144.40,India,admin_panel,token,8.13,read_config > auth > logout > logout,linux-36-d5:0f:78:5e:8b:41,normal,none,evt_000015
e_00206,edge_device,2026-01-01 01:53:00,88.222.161.185,Germany,api_gateway,token,8.28,connect > connect > logout > read_sensor > heartbeat,android-33-d3:6b:0f:5d:59:85,normal,none,evt_000016
e_00172,edge_device,2026-01-01 01:56:00,103.104.242.212,India,api_gateway,certificate,6.83,heartbeat > telemetry_push > connect,ios-93-85:bb:19:37:f2:dc,normal,none,evt_000017
s_00165,service_account,2026-01-01 01:56:00,34.46.176.127,United States,database,token,1.17,api_call > read_config > read_config > api_call,ios-71-10:02:0e:ec:94:ce,normal,none,evt_000018
u_00105,user,2026-01-01 02:08:00,51.55.254.73,United Kingdom,ticketing_portal,certificate,5.86,login > login > download > logout > login,android-41-8f:28:62:c1:45:21,normal,none,evt_000019
s_00134,service_account,2026-01-01 02:10:00,34.52.209.69,United States,api_gateway,token,12.75,auth > auth > write_log,win-26-2d:3b:77:57:64:b8,normal,none,evt_000020
e_00028,edge_device,2026-01-01 02:13:00,103.117.120.183,India,iot_hub,token,7.65,connect > logout > read_sensor > telemetry_push > logout > heartbeat,ios-25-bc:08:33:98:b1:80,normal,none,evt_000021
s_00120,service_account,2026-01-01 02:33:00,34.235.95.224,United States,database,token,3.88,read_config > read_config > api_call > write_log,win-42-fe:7a:f5:a9:0a:34,normal,none,evt_000022
e_00030,edge_device,2026-01-01 02:41:00,103.9.153.118,India,vpn_gateway,token,4.7,read_sensor > telemetry_push > connect,win-60-02:92:79:77:ad:85,normal,none,evt_000023
s_00178,service_account,2026-01-01 02:42:00,103.157.164.32,India,ticketing_portal,password,13.44,read_config > read_config > auth > api_call > auth > auth,ios-13-5d:71:f5:8c:89:25,normal,none,evt_000024
s_00102,service_account,2026-01-01 02:42:00,34.108.212.137,United States,api_gateway,certificate,3.39,read_config > api_call > logout,linux-46-38:a0:35:a6:c0:f6,normal,none,evt_000025
e_00040,edge_device,2026-01-01 02:47:00,88.149.197.19,Germany,api_gateway,certificate,14.48,connect > telemetry_push > logout > heartbeat > read_sensor,ios-24-26:76:82:b0:67:e9,normal,none,evt_000026
e_00032,edge_device,2026-01-01 02:50:00,88.147.101.43,Germany,iot_hub,token,9.04,telemetry_push > connect > connect > heartbeat > logout > connect,linux-95-25:16:ef:8e:70:bc,normal,none,evt_000027
e_00024,edge_device,2026-01-01 03:06:00,88.228.68.70,Germany,iot_hub,password,17.3,read_sensor > telemetry_push > logout > heartbeat > read_sensor > read_sensor,ios-60-f2:6a:48:0c:01:5f,normal,none,evt_000028
e_00173,edge_device,2026-01-01 03:13:00,103.187.163.94,India,api_gateway,certificate,4.66,heartbeat > logout > connect,ios-97-8a:26:73:16:ab:ac,anomaly,impossible_travel,evt_000029
s_00066,service_account,2026-01-01 03:18:00,103.113.103.194,India,api_gateway,certificate,10.23,api_call > write_log > write_log > api_call > api_call > write_log,android-26-d1:08:27:1c:b4:9e,normal,none,evt_000030
e_00191,edge_device,2026-01-01 03:27:00,103.145.114.176,India,vpn_gateway,certificate,10.28,telemetry_push > read_sensor > telemetry_push,linux-74-42:0f:56:99:2e:d0,normal,none,evt_000031
s_00031,service_account,2026-01-01 03:35:00,34.87.123.188,United States,ticketing_portal,certificate,36.98,login > read_file > search > read_file > search > logout,win-53-a8:ba:6b:eb:c6:35,anomaly,low_and_slow,evt_000032
e_00024,edge_device,2026-01-01 03:41:00,88.118.162.167,Germany,vpn_gateway,certificate,16.46,connect > heartbeat > telemetry_push,ios-60-f2:6a:48:0c:01:5f,normal,none,evt_000033
e_00173,edge_device,2026-01-01 03:50:00,88.80.238.78,Germany,api_gateway,certificate,3.03,connect > connect > read_sensor,ios-97-8a:26:73:16:ab:ac,normal,none,evt_000034
s_00007,service_account,2026-01-01 03:55:00,103.2.112.206,India,source_repo,token,6.8,api_call > read_config > api_call > write_log > api_call,win-72-76:b7:29:e6:80:f0,normal,none,evt_000035
e_00009,edge_device,2026-01-01 03:56:00,103.72.119.71,India,vpn_gateway,certificate,7.42,connect > telemetry_push > telemetry_push > telemetry_push,linux-90-20:74:b4:33:b8:4e,normal,none,evt_000036
u_00180,user,2026-01-01 04:06:00,51.199.152.10,United Kingdom,ticketing_portal,biometric,10.01,logout > download > logout > read_file > logout > search,ios-96-42:e1:81:b9:dc:29,normal,none,evt_000037
e_00123,edge_device,2026-01-01 04:08:00,103.194.54.234,India,iot_hub,certificate,7.65,connect > logout > read_sensor > telemetry_push > heartbeat,linux-58-63:8b:f7:e6:37:f8,normal,none,evt_000038
e_00235,edge_device,2026-01-01 04:16:00,103.48.22.237,India,iot_hub,certificate,12.16,read_sensor > telemetry_push > connect > telemetry_push > connect > read_sensor,android-71-ac:88:06:63:bb:cf,normal,none,evt_000039
u_00080,user,2026-01-01 04:26:00,51.109.97.111,United Kingdom,fileshare,password,12.78,read_file > download > search,linux-19-da:5f:95:86:bc:bd,normal,none,evt_000040
e_00084,edge_device,2026-01-01 04:36:00,88.29.137.80,Germany,api_gateway,certificate,9.98,heartbeat > telemetry_push > telemetry_push > read_sensor > telemetry_push > read_sensor,linux-43-1e:28:ea:00:52:ea,normal,none,evt_000041
u_00171,user,2026-01-01 04:53:00,51.83.37.195,United Kingdom,fileshare,biometric,6.79,download > download > logout > login,ios-74-2e:d9:86:78:b9:82,normal,none,evt_000042
s_00165,service_account,2026-01-01 04:53:00,34.200.194.20,United States,ticketing_portal,token,9.03,write_log > logout > logout > auth,ios-71-10:02:0e:ec:94:ce,normal,none,evt_000043
u_00215,user,2026-01-01 04:59:00,5.124.46.64,UAE,source_repo,token,11.99,login > download > search > download > login > read_file,linux-40-ba:72:d6:dd:09:b9,normal,none,evt_000044
u_00208,user,2026-01-01 05:22:00,103.177.147.64,India,mailbox,password,16.24,search > read_file > login > search > read_file > download,win-16-d9:97:57:c1:d8:5b,normal,none,evt_000045
u_00244,user,2026-01-01 05:22:00,45.161.92.249,Singapore,ticketing_portal,token,10.73,read_file > search > download > login > login,linux-63-9b:1e:47:3e:a3:54,normal,none,evt_000046
u_00016,user,2026-01-01 05:25:00,103.193.114.67,India,ticketing_portal,biometric,9.49,logout > search > download > read_file,ios-10-ef:f2:3d:08:1f:11,normal,none,evt_000047
u_00111,user,2026-01-01 05:30:00,45.121.17.165,Singapore,mailbox,biometric,8.27,download > logout > search > logout,ios-41-aa:68:70:6e:cc:a2,normal,none,evt_000048
e_00009,edge_device,2026-01-01 05:35:00,103.199.93.132,India,iot_hub,certificate,4.39,logout > connect > read_sensor > connect > telemetry_push > logout,linux-90-20:74:b4:33:b8:4e,normal,none,evt_000049
s_00000,service_account,2026-01-01 05:38:00,34.99.164.229,United States,api_gateway,certificate,7.46,write_log > auth > api_call > read_config,android-73-c9:83:20:d6:73:80,normal,none,evt_000050
u_00119,user,2026-01-01 05:42:00,103.193.16.23,India,fileshare,token,11.55,read_file > logout > search > logout > search,ios-94-32:67:39:cf:6a:f9,normal,none,evt_000051
e_00052,edge_device,2026-01-01 05:44:00,88.137.130.163,Germany,vpn_gateway,password,0.8,login > login > login > login > logout,linux-95-9f:c8:75:dd:12:1d,anomaly,brute_force,evt_000052
e_00074,edge_device,2026-01-01 05:48:00,103.195.219.131,India,api_gateway,token,8.86,connect > telemetry_push > logout > read_sensor > connect,ios-67-61:69:84:16:bd:a7,normal,none,evt_000053
u_00035,user,2026-01-01 05:57:00,51.187.178.66,United Kingdom,mailbox,biometric,14.01,logout > read_file > read_file > download > download > read_file,ios-98-06:aa:22:a6:9f:17,normal,none,evt_000054
s_00146,service_account,2026-01-01 05:58:00,34.209.66.32,United States,source_repo,certificate,8.4,read_config > write_log > write_log > write_log,android-76-0b:d2:29:bf:9e:49,normal,none,evt_000055
u_00089,user,2026-01-01 06:06:00,51.143.100.116,United Kingdom,vpn_gateway,token,16.47,search > logout > login > download > download > login,linux-45-e4:8f:26:b8:96:82,normal,none,evt_000056
u_00168,user,2026-01-01 06:10:00,103.215.59.216,India,source_repo,token,7.66,read_file > download > download > download > logout,ios-79-85:cf:38:b6:0b:1a,normal,none,evt_000057
u_00108,user,2026-01-01 06:13:00,45.222.99.103,Singapore,fileshare,token,13.82,login > login > login,linux-92-9c:6b:34:cd:e3:08,normal,none,evt_000058
u_00057,user,2026-01-01 06:17:00,51.184.176.75,United Kingdom,mailbox,password,9.89,logout > login > download > download > read_file,linux-87-30:ad:15:ac:57:73,normal,none,evt_000059
s_00146,service_account,2026-01-01 06:29:00,34.254.7.181,United States,admin_panel,certificate,8.63,logout > write_log > logout > auth,android-76-0b:d2:29:bf:9e:49,normal,none,evt_000060
u_00111,user,2026-01-01 06:34:00,45.126.34.89,Singapore,mailbox,password,1.61,login > auth > list_resources > escalate > read_file > download,ios-41-aa:68:70:6e:cc:a2,anomaly,credential_stuffing,evt_000061
u_00141,user,2026-01-01 06:36:00,45.150.213.144,Singapore,vpn_gateway,biometric,11.72,download > download > search > download > read_file,ios-78-16:23:65:56:bf:27,normal,none,evt_000062
u_00244,user,2026-01-01 06:37:00,45.78.248.100,Singapore,vpn_gateway,token,7.32,login > read_file > read_file > read_file > read_file,linux-63-9b:1e:47:3e:a3:54,normal,none,evt_000063
u_00167,user,2026-01-01 06:46:00,51.35.104.209,United Kingdom,vpn_gateway,biometric,9.17,search > logout > login > login > login > login,android-59-4c:eb:7a:c5:5c:bd,normal,none,evt_000064
u_00140,user,2026-01-01 06:47:00,51.252.212.98,United Kingdom,fileshare,token,13.61,download > logout > download > login,android-79-9b:c5:94:60:bc:d5,normal,none,evt_000065
e_00235,edge_device,2026-01-01 06:50:00,51.180.147.187,United Kingdom,api_gateway,certificate,9.36,heartbeat > read_sensor > connect > heartbeat,android-71-ac:88:06:63:bb:cf,normal,none,evt_000066
